Key,RU,EN,DE,TR
Log in via OTON,Вход через OTON,Log in via OTON,,
Login,Вход,Login,,
Only for oton.org users.,Только для пользователей oton.org,Only for oton.org users.,,
Log in via OTON,Вход через OTON,Log in via OTON,,
months,месяцев,months,,
Contract,Контракт,Contract,,
month,месяц,month,,
Sum,Сумма,Sum,,
Approximate calculation based on,Ориентировочный расчет на основе,Approximate calculation based on,,
the table,таблицы,the table,,
Create a new node and enjoy it.,Создайте новую ноду и получайте доход,Create a new node and enjoy it.,,
Create your first node and enjoy it,Создайте свою первую ноду и получайте доход,Create your first node and enjoy it,,
Create,Создать,Create,,
Node is created!,Нода создана,Node is created!,,
Back,Назад,Back,,
Next,Далее,Next,,
Earned in total,Заработано всего,Earned in total,,
Last block,Последний блок,Last block,,
Connected nodes,Подключенные ноды,Connected nodes,,
Votings,Голосований,Votings,,
IP,IP,IP,IP,IP
Uptime,Время работы,Uptime,,
Version,Версия,Version,,
Status,Статус,Status,,
Step,Шаг,Step,,
Insert wallet address for reward,Укажите адрес кошелька для зачисления дохода,Insert wallet address for reward,,
Wallet address,Адрес кошелька ,Wallet address,,
Select a contract,Выберите контракт,Select a contract,,
No available contracts,Нет доступных контрактов,No available contracts,,
Congratulations!,Поздравляем!,Congratulations!,,
Node will be created in a few minutes.,Нода будет создана через несколько минут.,Node will be created in a few minutes.,,
Ok,Ok,Ok,Ok,Ok
Name the node,Укажите имя ноды,Name the node,,
Node name,Имя ноды,Node name,,
Insert Digital Ocean token,Укажите DigitalOcean token,Insert DigitalOcean token,,
Digital Ocean token,DigitalOcean token,DigitalOcean token,DigitalOcean token,DigitalOcean token
Save,Сохранить,Save,,
Delete this node,Удалить ноду,Delete this node,,
Update software,Обновить ПО,Update software,,
Restart server,Перезапустить сервер,Restart server,,
Terms of use,Правила использования,Terms of use,,
Cookies policy,Политика обработки cookie,Cookies policy,,
Privacy notice,Политика конфиденциальности,Privacy notice,,
Log out,Выход,Log out,,
